Game,PlayID,Qtr,Time,Off,Situation,Description,DrivePlays,DriveYards,DriveTime,AwayScoreAfterDrive,HomeScoreAfterDrive,HomeTeam,AwayTeam,Week,GameID,Down,Distance,Yardline_100,GoalToGo,PlayType
1,5,1,15:00,SEA,,"H.Niswander kickoff from DC 30, 56 yds to SEA 14. K.Reynolds to SEA 33 for 56 yards (A.Williams)",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,kickoff
1,10,1,14:53,SEA,1st & 10 SEA 33,(Shotgun) J.Gardner rush left end to SEA 38 for 5 yards (A.Tarpley),,,,,,DC,SEA,1,2020020800,1,10,67,0,run
1,15,1,14:21,SEA,2nd & 5 SEA 38,(Shotgun) B.Silvers pass short right to K.Reynolds to SEA 39 for 1 yards (A.Tarpley),,,,,,DC,SEA,1,2020020800,2,5,62,0,pass
1,20,1,13:43,SEA,3rd & 4 SEA 39,(Shotgun) B.Silvers pass incomplete short right to K.Reynolds.,,,,,,DC,SEA,1,2020020800,3,4,61,0,pass
1,25,1,13:22,SEA,4th & 4 SEA 39,"(Punt) B.Miller punts, 45 yds to DC 16. E.Rogers to DC 20 for 45 yards (S.Ramirez)",,,,,,DC,SEA,1,2020020800,4,4,61,0,punt
1,30,1,13:09,DC,1st & 10 DC 20,(Shotgun) E.Rogers rush right end to DC 20 for 0 yards (A.Williams),,,,,,DC,SEA,1,2020020800,1,10,80,0,run
1,35,1,12:45,DC,2nd & 10 DC 20,"(No Huddle, Shotgun) D.Pumphrey rush right end to DC 19 for -1 yards (G.Igwebuike)",,,,,,DC,SEA,1,2020020800,2,10,80,0,run
1,40,1,12:18,DC,3rd & 11 DC 19,(Shotgun) C.Jones pass deep left to R.Ross out of bounds at DC 40 for 21 yards,,,,,,DC,SEA,1,2020020800,3,11,81,0,pass
1,45,1,11:53,DC,1st & 10 DC 40,"(No Huddle, Shotgun) C.Jones pass short right to E.Rogers out of bounds at SEA 43 for 17 yards (S.Johnson)",,,,,,DC,SEA,1,2020020800,1,10,60,0,pass
1,50,1,11:26,DC,1st & 10 SEA 43,"(No Huddle, Shotgun) C.Jones pass short middle to D.Pumphrey to SEA 40 for 3 yards (G.Igwebuike; S.Maponga)",,,,,,DC,SEA,1,2020020800,1,10,43,0,pass
1,55,1,10:49,DC,2nd & 7 SEA 40,"(No Huddle, Shotgun) T.Jackson rush left tackle to SEA 35 for 5 yards (J.Martin)",,,,,,DC,SEA,1,2020020800,2,7,40,0,run
1,60,1,10:25,DC,,"PENALTY on SEA. Neutral zone infraction, 5 yards, enforced to SEA 30.",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,no play
1,65,1,10:09,DC,1st & 10 SEA 30,J.Pressley rush left end out of bounds at SEA 21 for 9 yards (J.Martin),,,,,,DC,SEA,1,2020020800,1,10,30,0,run
1,70,1,09:44,DC,2nd & 1 SEA 21,(No Huddle) J.Pressley rush up the middle to SEA 21 for 0 yards (A.Johnson),,,,,,DC,SEA,1,2020020800,2,1,21,0,run
1,75,1,09:18,DC,3rd & 1 SEA 21,(No Huddle) C.Jones rush up the middle to SEA 16 for 5 yards (P.Tasini; S.Johnson),,,,,,DC,SEA,1,2020020800,3,1,21,0,run
1,80,1,08:46,DC,1st & 10 SEA 16,(No Huddle) R.Ross rush right end out of bounds at SEA 17 for -1 yards (G.Igwebuike),,,,,,DC,SEA,1,2020020800,1,10,16,0,run
1,85,1,08:12,DC,2nd & 11 SEA 17,(Shotgun) C.Jones pass incomplete.,,,,,,DC,SEA,1,2020020800,2,11,17,0,pass
1,90,1,07:43,DC,3rd & 11 SEA 17,(Shotgun) C.Jones pass incomplete short middle to D.Pumphrey (N.Temple).,,,,,,DC,SEA,1,2020020800,3,11,17,0,pass
1,95,1,07:23,DC,4th & 11 SEA 17,(Field Goal) T.Rausa 34 yds field goal IS GOOD.,13,63,05:49,0,3,DC,SEA,1,2020020800,4,11,17,0,field goal
1,100,1,07:20,SEA,,"H.Niswander kickoff from DC 30, 58 yds to SEA 12. K.Reynolds to SEA 33 for 58 yards (K.Abdullah; T.Kinnel)",,,,,,DC,SEA,1,2020020800,NA,NA,NA,NA,kickoff
1,105,1,07:16,SEA,1st & 10 SEA 33,K.Farrow rush up the middle to SEA 35 for 2 yards (J.Bromley),,,,,,DC,SEA,1,2020020800,1,10,67,0,run
